Designator,Mid X,Mid Y,Rotation,Layer
BT1,134.620000,-118.110000,90.000000,top
C1,133.858000,-84.328000,180.000000,top
C2,133.830000,-91.948000,180.000000,top
C3,133.858000,-88.900000,180.000000,top
C4,125.984000,-78.740000,-90.000000,top
C5,138.430000,-90.424000,0.000000,top
C6,130.556000,-100.838000,-90.000000,top
C7,130.556000,-98.806000,-90.000000,top
D1,133.174500,-99.568000,0.000000,top
J2,137.160000,-80.772000,-90.000000,top
L1,133.858000,-87.376000,0.000000,top
L2,137.922000,-104.902000,90.000000,top
R1,133.858000,-85.852000,180.000000,top
R2,138.430000,-84.328000,180.000000,top
R3,136.144000,-84.328000,0.000000,top
R4,133.858000,-90.424000,0.000000,top
R5,136.144000,-90.424000,180.000000,top
R6,136.144000,-91.948000,0.000000,top
R7,127.000000,-78.740000,90.000000,top
R9,140.716000,-78.740000,-90.000000,top
R11,127.000000,-81.026000,-90.000000,top
R12,138.430000,-91.948000,0.000000,top
R13,139.700000,-81.026000,90.000000,top
R14,140.716000,-81.026000,-90.000000,top
R15,125.984000,-81.026000,-90.000000,top
U1,133.350000,-64.200000,0.000000,top
U2,137.414000,-87.376000,180.000000,top
U3,133.217500,-103.190000,180.000000,top
